MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-371.26056,149.23032,-27.52438,17.827497,19.315521,-13.871977,13.451633,0.7096318,-14.0597,3.9519703,-5.928787,-8.160046,0.9908737
-368.81323,150.10414,-28.001781,19.200924,17.84797,-20.916409,6.8472557,0.00932458,-12.813146,2.3280573,-7.3867884,-10.056117,-2.7654757
-367.95184,151.2555,-26.107492,20.191109,13.725199,-28.113895,3.1079016,0.047802985,-13.17444,2.5998359,-4.0514064,-6.7764144,-0.71707624
-371.27606,151.63216,-20.677032,23.314306,16.6891,-22.76971,5.174088,-2.2652965,-15.665141,1.6645949,-1.4729118,-1.3090172,2.230014
-364.50824,158.2901,-18.339245,25.358044,19.792778,-22.42474,0.8517156,-7.8979235,-20.743107,-4.3295774,-4.8785267,2.8774114,8.799092
-363.54333,154.53479,-24.02649,25.685295,21.8386,-19.587477,4.4888096,-8.758078,-24.9725,-8.218179,-6.4937005,5.289994,12.142887
-368.24207,149.56778,-23.221216,27.502853,18.333431,-20.090656,9.649918,-3.9760718,-18.46919,-2.0744472,-7.3938913,-0.72485554,5.1352644
-367.93896,151.5068,-25.183517,18.61124,11.213675,-22.918037,7.643869,-7.4118457,-18.54918,6.5743704,-1.9983569,-3.7825594,5.709566
-362.6534,154.74124,-27.440481,15.180157,7.1852164,-24.37153,11.04631,-7.841033,-24.335537,7.4809904,3.6394882,-4.995261,2.1315777
-355.96448,161.02327,-27.709103,15.090676,9.26845,-28.69512,8.854191,0.20985067,-20.517315,4.7676272,4.0355196,-4.647457,0.20667014
-357.9601,160.28195,-26.099651,17.679287,12.53399,-27.904827,7.7029,1.608151,-18.685722,3.33255,2.7869,-2.013866,2.9413233
-357.768,155.53528,-31.787807,17.597677,14.12995,-23.955269,7.163083,-7.958095,-25.381159,0.45563793,-0.59758186,-2.2755132,1.8362123
-353.88492,158.52286,-35.054474,11.320741,12.051128,-21.604244,8.366903,-12.391407,-32.434998,-1.6211195,1.0378935,-2.1702304,2.2825305
-353.48853,161.35962,-32.5799,10.569529,11.883615,-20.475613,12.452621,-6.68513,-31.514193,-2.635519,1.1992006,-4.2555737,-0.49150962
-353.5059,161.82114,-27.957256,14.91324,6.6659193,-29.045435,8.776066,-4.9816594,-26.649006,-1.8544619,-2.2858667,-6.1992574,-3.1091702
-356.23782,160.44113,-26.806076,13.5650835,3.3410027,-30.728752,7.108133,-6.872238,-28.090565,-3.908647,-0.19922769,-0.07519865,-2.1238437
-359.3723,161.4009,-24.83873,10.50507,3.9745808,-27.843534,7.5394707,-6.1444116,-27.387758,-0.8071408,5.748782,4.5435658,4.626814
-358.80005,158.98996,-31.165941,8.1037855,6.0074873,-30.587887,2.697961,-2.229824,-14.906696,10.167164,7.7133355,3.1746087,6.578846
-352.00528,156.36046,-39.85533,12.653397,13.79643,-28.688406,-0.3228658,-6.52202,-16.001642,3.0419452,-4.0415387,1.3891789,4.0169277
-353.79703,151.81523,-44.663143,13.592915,20.500011,-20.869835,5.8687,-1.1513106,-10.918806,5.707674,-4.9120092,-1.7690476,0.7764194
-357.73727,152.25168,-41.90175,10.536558,18.891216,-19.80488,6.162483,0.49365702,-10.063515,5.115979,-4.3279533,-1.5343751,1.8969048
-355.81143,157.9198,-34.6361,14.525811,20.83594,-20.663895,2.0062857,-2.3489609,-13.752891,-1.953666,-7.0856256,1.2822082,3.1420727
-357.54132,158.68228,-33.673836,10.934112,16.911049,-24.119755,0.7870524,1.5829737,-10.301317,-1.2656469,-7.054375,-0.7145984,3.136988
-361.76785,154.62769,-30.244331,17.138523,16.82718,-23.709534,3.6331596,0.84950334,-9.043943,2.9849253,-7.2608185,-4.266918,1.7080472
-362.73947,155.55716,-24.677837,22.646713,20.093437,-18.242462,4.413228,-9.390904,-18.121124,1.0527879,-8.157111,-3.5034332,3.3524864
-366.69165,151.19977,-30.887535,15.439222,17.303726,-22.325674,-1.7050765,-10.299791,-16.028625,1.0791699,-11.918312,-8.457069,1.5643264
-371.22397,147.78017,-31.70613,12.755718,14.427197,-22.40988,1.4097373,-3.40229,-8.572168,3.2945356,-13.97196,-9.64493,2.3987427
-373.7811,146.24112,-28.556786,17.640041,15.506892,-23.075994,4.5800037,0.7973392,-7.4969726,4.831609,-9.923217,-6.8043633,4.0155177
-379.13358,144.03448,-23.265327,23.203472,17.609138,-22.13105,7.0818863,2.530498,-9.328304,4.669736,-5.471964,-4.750448,1.035365
-381.99243,140.36053,-23.947508,25.194082,19.341583,-19.472897,8.834222,1.0254892,-10.572437,4.119541,-4.7955766,-0.33269656,3.4320314
-376.34204,145.61133,-26.152391,20.170885,19.290619,-17.758654,8.580369,-1.7995619,-15.331001,2.0917406,-6.076509,-3.9655037,1.1404092
-373.9062,149.84848,-24.492382,18.093344,19.426704,-14.600299,12.9023075,2.1825974,-14.054983,2.0233574,-9.406955,-13.117271,-5.091386
-371.18103,149.84839,-26.391624,15.733759,10.747618,-22.986744,10.480051,0.5835134,-13.975491,5.4888725,-6.947774,-13.1746645,-3.085413
-367.90518,151.29086,-28.829987,15.211141,14.163813,-20.446636,10.154848,1.7731206,-12.768188,1.6536473,-10.608397,-11.749115,-0.9289911
-374.40292,150.91914,-21.14758,18.792805,16.129045,-18.256159,9.2614565,1.5679471,-10.081568,4.138216,-9.14165,-10.181644,1.3690925
-375.14905,151.77795,-20.293756,16.78206,17.430332,-12.021199,11.304832,-2.4513578,-12.944338,4.52932,-7.387924,-8.388508,1.7717707
